mh_value,mh_level,granularity,granularity_label,scope_id,dataset_name,combined_f1,combined_g_mean,training_time_sec,best_threshold,best_config_key,n_estimators,max_samples,max_features,contamination,summary_path
5,mh5,by_competitor,By competitor,COUNTRY_1/B2B/COMPETITOR_1_COUNTRY_1_2026-02-08,COMPETITOR_1_COUNTRY_1,0.6684433881557661,0.8978845371975333,0.398509,0.42000000000000004,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_100,100.0,256.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_1_B2B_COMPETITOR_1_COUNTRY_1_2026-02-08\if\summary.json
5,mh5,by_competitor,By competitor,COUNTRY_1/B2C/COMPETITOR_2_COUNTRY_1_2026-02-08,COMPETITOR_2_COUNTRY_1,0.5971753596872751,0.8815999790941996,8.51819,0.36,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200,200.0,256.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_1_B2C_COMPETITOR_2_COUNTRY_1_2026-02-08\if\summary.json
5,mh5,by_competitor,By competitor,COUNTRY_1/B2C/COMPETITOR_3_COUNTRY_1_2026-02-08,COMPETITOR_3_COUNTRY_1,0.6460416002565683,0.865446620147589,7.406046,0.3,if__contamination_auto__max_features_0p5__max_samples_512__n_estimators_100,100.0,512.0,0.5,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_1_B2C_COMPETITOR_3_COUNTRY_1_2026-02-08\if\summary.json
5,mh5,by_competitor,By competitor,COUNTRY_2/B2B/COMPETITOR_1_COUNTRY_2_2026-02-08,COMPETITOR_1_COUNTRY_2,0.6265120651815904,0.9054306660377138,1.6218810000000001,0.36,if__contamination_auto__max_features_0p5__max_samples_256__n_estimators_100,100.0,256.0,0.5,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_2_B2B_COMPETITOR_1_COUNTRY_2_2026-02-08\if\summary.json
5,mh5,by_competitor,By competitor,COUNTRY_2/B2C/COMPETITOR_2_COUNTRY_2_2026-02-08,COMPETITOR_2_COUNTRY_2,0.6183514410804833,0.8884738377426525,7.297676,0.36,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200,200.0,256.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_2_B2C_COMPETITOR_2_COUNTRY_2_2026-02-08\if\summary.json
5,mh5,by_competitor,By competitor,COUNTRY_2/B2C/COMPETITOR_3_COUNTRY_2_2026-02-08,COMPETITOR_3_COUNTRY_2,0.6368208585556047,0.8550727488362483,4.6258479999999995,0.3,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_100,100.0,256.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_2_B2C_COMPETITOR_3_COUNTRY_2_2026-02-08\if\summary.json
5,mh5,by_competitor,By competitor,COUNTRY_3/B2B/COMPETITOR_1_COUNTRY_3_2026-02-08,COMPETITOR_1_COUNTRY_3,0.6749932353840451,0.904881044395992,6.605038,0.36,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200,200.0,256.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_3_B2B_COMPETITOR_1_COUNTRY_3_2026-02-08\if\summary.json
5,mh5,by_competitor,By competitor,COUNTRY_3/B2C/COMPETITOR_2_COUNTRY_3_2026-02-08,COMPETITOR_2_COUNTRY_3,0.5856392061620825,0.8823996264453955,9.725629,0.3,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200,200.0,256.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_3_B2C_COMPETITOR_2_COUNTRY_3_2026-02-08\if\summary.json
5,mh5,by_competitor,By competitor,COUNTRY_3/B2C/COMPETITOR_3_COUNTRY_3_2026-02-08,COMPETITOR_3_COUNTRY_3,0.6924635871590763,0.8869095209050761,5.061964,0.3,if__contamination_auto__max_features_0p5__max_samples_512__n_estimators_100,100.0,512.0,0.5,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_3_B2C_COMPETITOR_3_COUNTRY_3_2026-02-08\if\summary.json
5,mh5,by_competitor,By competitor,COUNTRY_4/B2B/COMPETITOR_1_COUNTRY_4_2026-02-08,COMPETITOR_1_COUNTRY_4,0.6993802709433822,0.9141395800811138,0.932221,0.36,if__contamination_auto__max_features_0p5__max_samples_256__n_estimators_100,100.0,256.0,0.5,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_4_B2B_COMPETITOR_1_COUNTRY_4_2026-02-08\if\summary.json
5,mh5,by_competitor,By competitor,COUNTRY_4/B2C/COMPETITOR_2_COUNTRY_4_2026-02-08,COMPETITOR_2_COUNTRY_4,0.6422683391631198,0.9156204858048127,6.08303,0.3,if__contamination_auto__max_features_0p75__max_samples_512__n_estimators_100,100.0,512.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_4_B2C_COMPETITOR_2_COUNTRY_4_2026-02-08\if\summary.json
5,mh5,by_competitor,By competitor,COUNTRY_4/B2C/COMPETITOR_3_COUNTRY_4_2026-02-08,COMPETITOR_3_COUNTRY_4,0.5561972724719393,0.8656402681150576,0.194599,0.36,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200,200.0,256.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_4_B2C_COMPETITOR_3_COUNTRY_4_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_1/B2B/COMPETITOR_1_COUNTRY_1_2026-02-08,COMPETITOR_1_COUNTRY_1,0.6468278896557953,0.9099404975782341,0.696413,0.42000000000000004,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200,200.0,256.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_1_B2B_COMPETITOR_1_COUNTRY_1_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_1/B2C/COMPETITOR_2_COUNTRY_1_2026-02-08,COMPETITOR_2_COUNTRY_1,0.5858041492589648,0.8898013189354145,7.627054,0.3,if__contamination_auto__max_features_0p75__max_samples_512__n_estimators_200,200.0,512.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_1_B2C_COMPETITOR_2_COUNTRY_1_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_1/B2C/COMPETITOR_3_COUNTRY_1_2026-02-08,COMPETITOR_3_COUNTRY_1,0.6463075869761108,0.8731275514563039,5.143717,0.3,if__contamination_auto__max_features_1__max_samples_512__n_estimators_100,100.0,512.0,1.0,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_1_B2C_COMPETITOR_3_COUNTRY_1_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_2/B2B/COMPETITOR_1_COUNTRY_2_2026-02-08,COMPETITOR_1_COUNTRY_2,0.6925565985858371,0.9181354453107643,1.75654,0.36,if__contamination_auto__max_features_0p5__max_samples_512__n_estimators_100,100.0,512.0,0.5,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_2_B2B_COMPETITOR_1_COUNTRY_2_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_2/B2C/COMPETITOR_2_COUNTRY_2_2026-02-08,COMPETITOR_2_COUNTRY_2,0.6244782808400966,0.8999695933674844,3.011987,0.36,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_100,100.0,256.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_2_B2C_COMPETITOR_2_COUNTRY_2_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_2/B2C/COMPETITOR_3_COUNTRY_2_2026-02-08,COMPETITOR_3_COUNTRY_2,0.6598742364774624,0.8774023093342336,6.8746220000000005,0.3,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200,200.0,256.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_2_B2C_COMPETITOR_3_COUNTRY_2_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_3/B2B/COMPETITOR_1_COUNTRY_3_2026-02-08,COMPETITOR_1_COUNTRY_3,0.6812907709689756,0.9102883077586634,3.348487,0.36,if__contamination_auto__max_features_0p75__max_samples_512__n_estimators_100,100.0,512.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_3_B2B_COMPETITOR_1_COUNTRY_3_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_3/B2C/COMPETITOR_2_COUNTRY_3_2026-02-08,COMPETITOR_2_COUNTRY_3,0.5801816532190905,0.8879929345148556,9.590598,0.3,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200,200.0,256.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_3_B2C_COMPETITOR_2_COUNTRY_3_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_3/B2C/COMPETITOR_3_COUNTRY_3_2026-02-08,COMPETITOR_3_COUNTRY_3,0.6981280978500285,0.8995551248283207,5.521594,0.3,if__contamination_auto__max_features_0p75__max_samples_512__n_estimators_100,100.0,512.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_3_B2C_COMPETITOR_3_COUNTRY_3_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_4/B2B/COMPETITOR_1_COUNTRY_4_2026-02-08,COMPETITOR_1_COUNTRY_4,0.7416688992267895,0.9317702596847214,2.375979,0.36,if__contamination_auto__max_features_0p75__max_samples_512__n_estimators_200,200.0,512.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_4_B2B_COMPETITOR_1_COUNTRY_4_2026-02-08\if\summary.json
10,mh10,by_competitor,By competitor,COUNTRY_4/B2C/COMPETITOR_2_COUNTRY_4_2026-02-08,COMPETITOR_2_COUNTRY_4,0.6627461879022027,0.913747355344901,8.50439,0.36,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200,200.0,256.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh10\by_competitor\COUNTRY_4_B2C_COMPETITOR_2_COUNTRY_4_2026-02-08\if\summary.json
15,mh15,by_competitor,By competitor,COUNTRY_1/B2B/COMPETITOR_1_COUNTRY_1_2026-02-08,COMPETITOR_1_COUNTRY_1,0.7197932134411262,0.9333902712925846,0.395586,0.42000000000000004,if__contamination_auto__max_features_0p75__max_samples_512__n_estimators_100,100.0,512.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh15\by_competitor\COUNTRY_1_B2B_COMPETITOR_1_COUNTRY_1_2026-02-08\if\summary.json
15,mh15,by_competitor,By competitor,COUNTRY_1/B2C/COMPETITOR_2_COUNTRY_1_2026-02-08,COMPETITOR_2_COUNTRY_1,0.6000096913437537,0.8861063373591697,4.187597,0.36,if__contamination_auto__max_features_1__max_samples_256__n_estimators_200,200.0,256.0,1.0,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh15\by_competitor\COUNTRY_1_B2C_COMPETITOR_2_COUNTRY_1_2026-02-08\if\summary.json
15,mh15,by_competitor,By competitor,COUNTRY_1/B2C/COMPETITOR_3_COUNTRY_1_2026-02-08,COMPETITOR_3_COUNTRY_1,0.6470205669437197,0.8683116597167673,8.01499,0.3,if__contamination_auto__max_features_1__max_samples_512__n_estimators_200,200.0,512.0,1.0,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh15\by_competitor\COUNTRY_1_B2C_COMPETITOR_3_COUNTRY_1_2026-02-08\if\summary.json
15,mh15,by_competitor,By competitor,COUNTRY_2/B2B/COMPETITOR_1_COUNTRY_2_2026-02-08,COMPETITOR_1_COUNTRY_2,0.7158073399643949,0.9264191157606316,3.4571709999999998,0.36,if__contamination_auto__max_features_0p75__max_samples_512__n_estimators_200,200.0,512.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh15\by_competitor\COUNTRY_2_B2B_COMPETITOR_1_COUNTRY_2_2026-02-08\if\summary.json
15,mh15,by_competitor,By competitor,COUNTRY_2/B2C/COMPETITOR_2_COUNTRY_2_2026-02-08,COMPETITOR_2_COUNTRY_2,0.6286951147645841,0.9069219533669151,5.516146,0.36,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200,200.0,256.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh15\by_competitor\COUNTRY_2_B2C_COMPETITOR_2_COUNTRY_2_2026-02-08\if\summary.json
15,mh15,by_competitor,By competitor,COUNTRY_2/B2C/COMPETITOR_3_COUNTRY_2_2026-02-08,COMPETITOR_3_COUNTRY_2,0.6522437037600896,0.8760050078361228,1.654552,0.3,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_100,100.0,256.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh15\by_competitor\COUNTRY_2_B2C_COMPETITOR_3_COUNTRY_2_2026-02-08\if\summary.json
15,mh15,by_competitor,By competitor,COUNTRY_3/B2B/COMPETITOR_1_COUNTRY_3_2026-02-08,COMPETITOR_1_COUNTRY_3,0.6709605252634607,0.915619706885423,2.9585879999999998,0.36,if__contamination_auto__max_features_0p5__max_samples_256__n_estimators_100,100.0,256.0,0.5,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh15\by_competitor\COUNTRY_3_B2B_COMPETITOR_1_COUNTRY_3_2026-02-08\if\summary.json
15,mh15,by_competitor,By competitor,COUNTRY_3/B2C/COMPETITOR_2_COUNTRY_3_2026-02-08,COMPETITOR_2_COUNTRY_3,0.6124982266469808,0.8965132375911598,4.727506,0.3,if__contamination_auto__max_features_0p75__max_samples_512__n_estimators_100,100.0,512.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh15\by_competitor\COUNTRY_3_B2C_COMPETITOR_2_COUNTRY_3_2026-02-08\if\summary.json
15,mh15,by_competitor,By competitor,COUNTRY_3/B2C/COMPETITOR_3_COUNTRY_3_2026-02-08,COMPETITOR_3_COUNTRY_3,0.6701236109678992,0.8996586303144029,2.657667,0.3,if__contamination_auto__max_features_1__max_samples_256__n_estimators_200,200.0,256.0,1.0,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh15\by_competitor\COUNTRY_3_B2C_COMPETITOR_3_COUNTRY_3_2026-02-08\if\summary.json
15,mh15,by_competitor,By competitor,COUNTRY_4/B2B/COMPETITOR_1_COUNTRY_4_2026-02-08,COMPETITOR_1_COUNTRY_4,0.7313795765981113,0.933863655553052,1.8699029999999999,0.36,if__contamination_auto__max_features_0p75__max_samples_512__n_estimators_200,200.0,512.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh15\by_competitor\COUNTRY_4_B2B_COMPETITOR_1_COUNTRY_4_2026-02-08\if\summary.json
15,mh15,by_competitor,By competitor,COUNTRY_4/B2C/COMPETITOR_2_COUNTRY_4_2026-02-08,COMPETITOR_2_COUNTRY_4,0.6852208246758194,0.9196677301085907,4.672798,0.36,if__contamination_auto__max_features_0p75__max_samples_512__n_estimators_100,100.0,512.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh15\by_competitor\COUNTRY_4_B2C_COMPETITOR_2_COUNTRY_4_2026-02-08\if\summary.json
20,mh20,by_competitor,By competitor,COUNTRY_1/B2B/COMPETITOR_1_COUNTRY_1_2026-02-08,COMPETITOR_1_COUNTRY_1,0.7411000220987527,0.9399669057534249,0.352845,0.42000000000000004,if__contamination_auto__max_features_0p75__max_samples_512__n_estimators_100,100.0,512.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh20\by_competitor\COUNTRY_1_B2B_COMPETITOR_1_COUNTRY_1_2026-02-08\if\summary.json
20,mh20,by_competitor,By competitor,COUNTRY_1/B2C/COMPETITOR_2_COUNTRY_1_2026-02-08,COMPETITOR_2_COUNTRY_1,0.6473256417576233,0.8953638861430535,3.136114,0.36,if__contamination_auto__max_features_0p5__max_samples_512__n_estimators_100,100.0,512.0,0.5,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh20\by_competitor\COUNTRY_1_B2C_COMPETITOR_2_COUNTRY_1_2026-02-08\if\summary.json
20,mh20,by_competitor,By competitor,COUNTRY_1/B2C/COMPETITOR_3_COUNTRY_1_2026-02-08,COMPETITOR_3_COUNTRY_1,0.6369202850144733,0.8702410543572007,2.11063,0.3,if__contamination_auto__max_features_0p75__max_samples_512__n_estimators_100,100.0,512.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh20\by_competitor\COUNTRY_1_B2C_COMPETITOR_3_COUNTRY_1_2026-02-08\if\summary.json
20,mh20,by_competitor,By competitor,COUNTRY_2/B2B/COMPETITOR_1_COUNTRY_2_2026-02-08,COMPETITOR_1_COUNTRY_2,0.685289018817439,0.928908802536777,2.974876,0.36,if__contamination_auto__max_features_0p75__max_samples_512__n_estimators_200,200.0,512.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh20\by_competitor\COUNTRY_2_B2B_COMPETITOR_1_COUNTRY_2_2026-02-08\if\summary.json
20,mh20,by_competitor,By competitor,COUNTRY_2/B2C/COMPETITOR_2_COUNTRY_2_2026-02-08,COMPETITOR_2_COUNTRY_2,0.677060410182192,0.9170615537690074,2.984723,0.36,if__contamination_auto__max_features_0p75__max_samples_512__n_estimators_100,100.0,512.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh20\by_competitor\COUNTRY_2_B2C_COMPETITOR_2_COUNTRY_2_2026-02-08\if\summary.json
20,mh20,by_competitor,By competitor,COUNTRY_2/B2C/COMPETITOR_3_COUNTRY_2_2026-02-08,COMPETITOR_3_COUNTRY_2,0.6554546051704537,0.8876906605064845,0.305944,0.3,if__contamination_auto__max_features_0p5__max_samples_256__n_estimators_100,100.0,256.0,0.5,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh20\by_competitor\COUNTRY_2_B2C_COMPETITOR_3_COUNTRY_2_2026-02-08\if\summary.json
20,mh20,by_competitor,By competitor,COUNTRY_3/B2B/COMPETITOR_1_COUNTRY_3_2026-02-08,COMPETITOR_1_COUNTRY_3,0.6930732680009462,0.9168495475062779,3.083387,0.36,if__contamination_auto__max_features_0p75__max_samples_512__n_estimators_100,100.0,512.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh20\by_competitor\COUNTRY_3_B2B_COMPETITOR_1_COUNTRY_3_2026-02-08\if\summary.json
20,mh20,by_competitor,By competitor,COUNTRY_3/B2C/COMPETITOR_2_COUNTRY_3_2026-02-08,COMPETITOR_2_COUNTRY_3,0.5869093907392886,0.8959115015800574,3.073651,0.3,if__contamination_auto__max_features_0p5__max_samples_256__n_estimators_100,100.0,256.0,0.5,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh20\by_competitor\COUNTRY_3_B2C_COMPETITOR_2_COUNTRY_3_2026-02-08\if\summary.json
20,mh20,by_competitor,By competitor,COUNTRY_3/B2C/COMPETITOR_3_COUNTRY_3_2026-02-08,COMPETITOR_3_COUNTRY_3,0.6426425006056322,0.8949507554285413,0.49314,0.3,if__contamination_auto__max_features_0p5__max_samples_256__n_estimators_100,100.0,256.0,0.5,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh20\by_competitor\COUNTRY_3_B2C_COMPETITOR_3_COUNTRY_3_2026-02-08\if\summary.json
20,mh20,by_competitor,By competitor,COUNTRY_4/B2B/COMPETITOR_1_COUNTRY_4_2026-02-08,COMPETITOR_1_COUNTRY_4,0.7114608327111529,0.9341697699404947,0.911128,0.36,if__contamination_auto__max_features_0p75__max_samples_512__n_estimators_100,100.0,512.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh20\by_competitor\COUNTRY_4_B2B_COMPETITOR_1_COUNTRY_4_2026-02-08\if\summary.json
20,mh20,by_competitor,By competitor,COUNTRY_4/B2C/COMPETITOR_2_COUNTRY_4_2026-02-08,COMPETITOR_2_COUNTRY_4,0.6947113724010971,0.9213597661064802,4.202178,0.36,if__contamination_auto__max_features_0p75__max_samples_512__n_estimators_100,100.0,512.0,0.75,auto,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh20\by_competitor\COUNTRY_4_B2C_COMPETITOR_2_COUNTRY_4_2026-02-08\if\summary.json
