source,detector_family,detector_label,mh_level,granularity,scope_id,dataset_name,sweep_id,best_candidate_id,best_config_key,best_threshold,best_f1,best_g_mean,training_time_sec,summary_path
forest_scope_summary,if,Isolation Forest,mh5,by_competitor,COUNTRY_2/B2B/COMPETITOR_1_COUNTRY_2_2026-02-08,COMPETITOR_1_COUNTRY_2,single_config_optimized_mh5_run,if__contamination_auto__max_features_0p5__max_samples_256__n_estimators_100__threshold_0p36,if__contamination_auto__max_features_0p5__max_samples_256__n_estimators_100,0.36,0.6265120651815904,0.9054306660377138,1.6218810000000001,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_2_B2B_COMPETITOR_1_COUNTRY_2_2026-02-08\if\summary.json
forest_scope_summary,if,Isolation Forest,mh5,by_competitor,COUNTRY_2/B2C/COMPETITOR_2_COUNTRY_2_2026-02-08,COMPETITOR_2_COUNTRY_2,single_config_optimized_mh5_run,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200__threshold_0p36,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200,0.36,0.6183514410804833,0.8884738377426525,7.297676,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_2_B2C_COMPETITOR_2_COUNTRY_2_2026-02-08\if\summary.json
forest_scope_summary,if,Isolation Forest,mh5,by_competitor,COUNTRY_2/B2C/COMPETITOR_3_COUNTRY_2_2026-02-08,COMPETITOR_3_COUNTRY_2,single_config_optimized_mh5_run,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_100__threshold_0p3,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_100,0.3,0.6368208585556047,0.8550727488362483,4.6258479999999995,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_2_B2C_COMPETITOR_3_COUNTRY_2_2026-02-08\if\summary.json
forest_scope_summary,if,Isolation Forest,mh5,by_competitor,COUNTRY_3/B2B/COMPETITOR_1_COUNTRY_3_2026-02-08,COMPETITOR_1_COUNTRY_3,single_config_optimized_mh5_run,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200__threshold_0p36,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200,0.36,0.6749932353840451,0.904881044395992,6.605038,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_3_B2B_COMPETITOR_1_COUNTRY_3_2026-02-08\if\summary.json
forest_scope_summary,if,Isolation Forest,mh5,by_competitor,COUNTRY_3/B2C/COMPETITOR_2_COUNTRY_3_2026-02-08,COMPETITOR_2_COUNTRY_3,single_config_optimized_mh5_run,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200__threshold_0p3,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200,0.3,0.5856392061620825,0.8823996264453955,9.725629,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_3_B2C_COMPETITOR_2_COUNTRY_3_2026-02-08\if\summary.json
forest_scope_summary,if,Isolation Forest,mh5,by_competitor,COUNTRY_3/B2C/COMPETITOR_3_COUNTRY_3_2026-02-08,COMPETITOR_3_COUNTRY_3,single_config_optimized_mh5_run,if__contamination_auto__max_features_0p5__max_samples_512__n_estimators_100__threshold_0p3,if__contamination_auto__max_features_0p5__max_samples_512__n_estimators_100,0.3,0.6924635871590763,0.8869095209050761,5.061964,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_3_B2C_COMPETITOR_3_COUNTRY_3_2026-02-08\if\summary.json
forest_scope_summary,if,Isolation Forest,mh5,by_competitor,COUNTRY_4/B2B/COMPETITOR_1_COUNTRY_4_2026-02-08,COMPETITOR_1_COUNTRY_4,single_config_optimized_mh5_run,if__contamination_auto__max_features_0p5__max_samples_256__n_estimators_100__threshold_0p36,if__contamination_auto__max_features_0p5__max_samples_256__n_estimators_100,0.36,0.6993802709433822,0.9141395800811138,0.932221,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_4_B2B_COMPETITOR_1_COUNTRY_4_2026-02-08\if\summary.json
forest_scope_summary,if,Isolation Forest,mh5,by_competitor,COUNTRY_4/B2C/COMPETITOR_2_COUNTRY_4_2026-02-08,COMPETITOR_2_COUNTRY_4,single_config_optimized_mh5_run,if__contamination_auto__max_features_0p75__max_samples_512__n_estimators_100__threshold_0p3,if__contamination_auto__max_features_0p75__max_samples_512__n_estimators_100,0.3,0.6422683391631198,0.9156204858048127,6.08303,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_4_B2C_COMPETITOR_2_COUNTRY_4_2026-02-08\if\summary.json
forest_scope_summary,if,Isolation Forest,mh5,by_competitor,COUNTRY_4/B2C/COMPETITOR_3_COUNTRY_4_2026-02-08,COMPETITOR_3_COUNTRY_4,single_config_optimized_mh5_run,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200__threshold_0p36,if__contamination_auto__max_features_0p75__max_samples_256__n_estimators_200,0.36,0.5561972724719393,0.8656402681150576,0.194599,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_4_B2C_COMPETITOR_3_COUNTRY_4_2026-02-08\if\summary.json
forest_scope_summary,rrcf,Robust Random Cut Forest,mh5,global,GLOBAL_2026-02-08,GLOBAL,single_config_optimized_mh5_run,rrcf__num_trees_80__tree_size_128__warmup_samples_32__threshold_0p65,rrcf__num_trees_80__tree_size_128__warmup_samples_32,0.6499999999999999,0.20056998453687475,0.5459871773646214,23626.38317,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\global\GLOBAL_2026-02-08\rrcf\summary.json
forest_scope_summary,rrcf,Robust Random Cut Forest,mh5,by_country,COUNTRY_1/COUNTRY_1_2026-02-08,COUNTRY_1,single_config_optimized_mh5_run,rrcf__num_trees_80__tree_size_128__warmup_samples_32__threshold_0p65,rrcf__num_trees_80__tree_size_128__warmup_samples_32,0.6499999999999999,0.20049360399110058,0.5413778373929832,15835.820381,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_country\COUNTRY_1_COUNTRY_1_2026-02-08\rrcf\summary.json
forest_scope_summary,rrcf,Robust Random Cut Forest,mh5,by_country,COUNTRY_2/COUNTRY_2_2026-02-08,COUNTRY_2,single_config_optimized_mh5_run,rrcf__num_trees_80__tree_size_128__warmup_samples_32__threshold_0p73,rrcf__num_trees_80__tree_size_128__warmup_samples_32,0.7250000000000001,0.23133324402231004,0.5860647840940392,11088.619225,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_country\COUNTRY_2_COUNTRY_2_2026-02-08\rrcf\summary.json
forest_scope_summary,rrcf,Robust Random Cut Forest,mh5,by_country,COUNTRY_3/COUNTRY_3_2026-02-08,COUNTRY_3,single_config_optimized_mh5_run,rrcf__num_trees_80__tree_size_128__warmup_samples_32__threshold_0p65,rrcf__num_trees_80__tree_size_128__warmup_samples_32,0.6499999999999999,0.19165425750887485,0.5330952157278064,12641.850493,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_country\COUNTRY_3_COUNTRY_3_2026-02-08\rrcf\summary.json
forest_scope_summary,rrcf,Robust Random Cut Forest,mh5,by_country,COUNTRY_4/COUNTRY_4_2026-02-08,COUNTRY_4,single_config_optimized_mh5_run,rrcf__num_trees_80__tree_size_128__warmup_samples_32__threshold_0p65,rrcf__num_trees_80__tree_size_128__warmup_samples_32,0.6499999999999999,0.19897023480897866,0.5319389390618878,5030.824888,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_country\COUNTRY_4_COUNTRY_4_2026-02-08\rrcf\summary.json
forest_scope_summary,rrcf,Robust Random Cut Forest,mh5,by_competitor,COUNTRY_1/B2B/COMPETITOR_1_COUNTRY_1_2026-02-08,COMPETITOR_1_COUNTRY_1,single_config_optimized_mh5_run,rrcf__num_trees_80__tree_size_128__warmup_samples_32__threshold_0p73,rrcf__num_trees_80__tree_size_128__warmup_samples_32,0.7250000000000001,0.2773496527891972,0.5857972225722582,351.88321,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_1_B2B_COMPETITOR_1_COUNTRY_1_2026-02-08\rrcf\summary.json
forest_scope_summary,rrcf,Robust Random Cut Forest,mh5,by_competitor,COUNTRY_1/B2C/COMPETITOR_2_COUNTRY_1_2026-02-08,COMPETITOR_2_COUNTRY_1,single_config_optimized_mh5_run,rrcf__num_trees_80__tree_size_128__warmup_samples_32__threshold_0p73,rrcf__num_trees_80__tree_size_128__warmup_samples_32,0.7250000000000001,0.2502539270432015,0.6165942324693168,4381.412653,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_1_B2C_COMPETITOR_2_COUNTRY_1_2026-02-08\rrcf\summary.json
forest_scope_summary,rrcf,Robust Random Cut Forest,mh5,by_competitor,COUNTRY_1/B2C/COMPETITOR_3_COUNTRY_1_2026-02-08,COMPETITOR_3_COUNTRY_1,single_config_optimized_mh5_run,rrcf__num_trees_80__tree_size_128__warmup_samples_32__threshold_0p65,rrcf__num_trees_80__tree_size_128__warmup_samples_32,0.6499999999999999,0.20322672893218824,0.552767014891167,9553.409917,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_1_B2C_COMPETITOR_3_COUNTRY_1_2026-02-08\rrcf\summary.json
forest_scope_summary,rrcf,Robust Random Cut Forest,mh5,by_competitor,COUNTRY_2/B2B/COMPETITOR_1_COUNTRY_2_2026-02-08,COMPETITOR_1_COUNTRY_2,single_config_optimized_mh5_run,rrcf__num_trees_80__tree_size_128__warmup_samples_32__threshold_0p65,rrcf__num_trees_80__tree_size_128__warmup_samples_32,0.6499999999999999,0.23115421434313893,0.600996888369915,1991.089546,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_2_B2B_COMPETITOR_1_COUNTRY_2_2026-02-08\rrcf\summary.json
forest_scope_summary,rrcf,Robust Random Cut Forest,mh5,by_competitor,COUNTRY_2/B2C/COMPETITOR_2_COUNTRY_2_2026-02-08,COMPETITOR_2_COUNTRY_2,single_config_optimized_mh5_run,rrcf__num_trees_80__tree_size_128__warmup_samples_32__threshold_0p73,rrcf__num_trees_80__tree_size_128__warmup_samples_32,0.7250000000000001,0.2548053418471449,0.5740701252108433,3447.644228,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_2_B2C_COMPETITOR_2_COUNTRY_2_2026-02-08\rrcf\summary.json
forest_scope_summary,rrcf,Robust Random Cut Forest,mh5,by_competitor,COUNTRY_2/B2C/COMPETITOR_3_COUNTRY_2_2026-02-08,COMPETITOR_3_COUNTRY_2,single_config_optimized_mh5_run,rrcf__num_trees_80__tree_size_128__warmup_samples_32__threshold_0p73,rrcf__num_trees_80__tree_size_128__warmup_samples_32,0.7250000000000001,0.2822725953851719,0.6352137706263986,4883.812888,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_2_B2C_COMPETITOR_3_COUNTRY_2_2026-02-08\rrcf\summary.json
forest_scope_summary,rrcf,Robust Random Cut Forest,mh5,by_competitor,COUNTRY_3/B2B/COMPETITOR_1_COUNTRY_3_2026-02-08,COMPETITOR_1_COUNTRY_3,single_config_optimized_mh5_run,rrcf__num_trees_80__tree_size_128__warmup_samples_32__threshold_0p65,rrcf__num_trees_80__tree_size_128__warmup_samples_32,0.6499999999999999,0.22659039360114372,0.5878502395988491,3559.592273,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_3_B2B_COMPETITOR_1_COUNTRY_3_2026-02-08\rrcf\summary.json
forest_scope_summary,rrcf,Robust Random Cut Forest,mh5,by_competitor,COUNTRY_3/B2C/COMPETITOR_2_COUNTRY_3_2026-02-08,COMPETITOR_2_COUNTRY_3,single_config_optimized_mh5_run,rrcf__num_trees_80__tree_size_128__warmup_samples_32__threshold_0p65,rrcf__num_trees_80__tree_size_128__warmup_samples_32,0.6499999999999999,0.21837049395871436,0.5765861526577024,4936.16517,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_3_B2C_COMPETITOR_2_COUNTRY_3_2026-02-08\rrcf\summary.json
forest_scope_summary,rrcf,Robust Random Cut Forest,mh5,by_competitor,COUNTRY_3/B2C/COMPETITOR_3_COUNTRY_3_2026-02-08,COMPETITOR_3_COUNTRY_3,single_config_optimized_mh5_run,rrcf__num_trees_80__tree_size_128__warmup_samples_32__threshold_0p65,rrcf__num_trees_80__tree_size_128__warmup_samples_32,0.6499999999999999,0.2171850721029691,0.5771799536783971,5755.972618,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_3_B2C_COMPETITOR_3_COUNTRY_3_2026-02-08\rrcf\summary.json
forest_scope_summary,rrcf,Robust Random Cut Forest,mh5,by_competitor,COUNTRY_4/B2B/COMPETITOR_1_COUNTRY_4_2026-02-08,COMPETITOR_1_COUNTRY_4,single_config_optimized_mh5_run,rrcf__num_trees_80__tree_size_128__warmup_samples_32__threshold_0p73,rrcf__num_trees_80__tree_size_128__warmup_samples_32,0.7250000000000001,0.26497588758071056,0.6204157928442562,1123.680493,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_4_B2B_COMPETITOR_1_COUNTRY_4_2026-02-08\rrcf\summary.json
forest_scope_summary,rrcf,Robust Random Cut Forest,mh5,by_competitor,COUNTRY_4/B2C/COMPETITOR_2_COUNTRY_4_2026-02-08,COMPETITOR_2_COUNTRY_4,single_config_optimized_mh5_run,rrcf__num_trees_80__tree_size_128__warmup_samples_32__threshold_0p65,rrcf__num_trees_80__tree_size_128__warmup_samples_32,0.6499999999999999,0.224407245462459,0.5914837579977839,4800.85669,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_4_B2C_COMPETITOR_2_COUNTRY_4_2026-02-08\rrcf\summary.json
forest_scope_summary,rrcf,Robust Random Cut Forest,mh5,by_competitor,COUNTRY_4/B2C/COMPETITOR_3_COUNTRY_4_2026-02-08,COMPETITOR_3_COUNTRY_4,single_config_optimized_mh5_run,rrcf__num_trees_80__tree_size_128__warmup_samples_32__threshold_0p8,rrcf__num_trees_80__tree_size_128__warmup_samples_32,0.8,0.1934703531522714,0.5201341594293509,6.092296,C:\Users\Administrator\Desktop\dippa\src\results\tuning\forests\single_config_optimized_mh5_run\mh5\by_competitor\COUNTRY_4_B2C_COMPETITOR_3_COUNTRY_4_2026-02-08\rrcf\summary.json
