run_id,candidate_id,dataset_split,detector_name,anomaly_type,injected_count,detected_count,detection_rate,attempt_index,attempt_seed,multiplier,stage
iqr__multiplier_1p000__attempt_01,iqr__multiplier_1p000,new_prices,iqr,decimal_shift,3444,3263,0.9474448315911731,1,42,1.0,coarse
iqr__multiplier_1p000__attempt_01,iqr__multiplier_1p000,new_prices,iqr,price_drop,3373,2921,0.8659946635042989,1,42,1.0,coarse
iqr__multiplier_1p000__attempt_01,iqr__multiplier_1p000,new_prices,iqr,price_spike,3393,3232,0.9525493663424698,1,42,1.0,coarse
iqr__multiplier_1p000__attempt_01,iqr__multiplier_1p000,new_products,iqr,decimal_shift,9124,7024,0.7698377904427882,1,42,1.0,coarse
iqr__multiplier_1p000__attempt_01,iqr__multiplier_1p000,new_products,iqr,price_drop,9034,6498,0.7192827097631171,1,42,1.0,coarse
iqr__multiplier_1p000__attempt_01,iqr__multiplier_1p000,new_products,iqr,price_spike,9026,6889,0.7632395302459561,1,42,1.0,coarse
iqr__multiplier_1p500__attempt_01,iqr__multiplier_1p500,new_prices,iqr,decimal_shift,3444,3193,0.9271196283391405,1,42,1.5,coarse
iqr__multiplier_1p500__attempt_01,iqr__multiplier_1p500,new_prices,iqr,price_drop,3373,2661,0.7889119478209309,1,42,1.5,coarse
iqr__multiplier_1p500__attempt_01,iqr__multiplier_1p500,new_prices,iqr,price_spike,3393,3212,0.9466548776893604,1,42,1.5,coarse
iqr__multiplier_1p500__attempt_01,iqr__multiplier_1p500,new_products,iqr,decimal_shift,9124,6863,0.752192021043402,1,42,1.5,coarse
iqr__multiplier_1p500__attempt_01,iqr__multiplier_1p500,new_products,iqr,price_drop,9034,6044,0.6690281160061988,1,42,1.5,coarse
iqr__multiplier_1p500__attempt_01,iqr__multiplier_1p500,new_products,iqr,price_spike,9026,6819,0.755484156880124,1,42,1.5,coarse
iqr__multiplier_2p000__attempt_01,iqr__multiplier_2p000,new_prices,iqr,decimal_shift,3444,3090,0.8972125435540069,1,42,2.0,coarse
iqr__multiplier_2p000__attempt_01,iqr__multiplier_2p000,new_prices,iqr,price_drop,3373,2384,0.7067892084198043,1,42,2.0,coarse
iqr__multiplier_2p000__attempt_01,iqr__multiplier_2p000,new_prices,iqr,price_spike,3393,3176,0.9360447981137636,1,42,2.0,coarse
iqr__multiplier_2p000__attempt_01,iqr__multiplier_2p000,new_products,iqr,decimal_shift,9124,6693,0.7335598421744849,1,42,2.0,coarse
iqr__multiplier_2p000__attempt_01,iqr__multiplier_2p000,new_products,iqr,price_drop,9034,5618,0.6218729245074164,1,42,2.0,coarse
iqr__multiplier_2p000__attempt_01,iqr__multiplier_2p000,new_products,iqr,price_spike,9026,6749,0.7477287835142921,1,42,2.0,coarse
iqr__multiplier_2p500__attempt_01,iqr__multiplier_2p500,new_prices,iqr,decimal_shift,3444,2991,0.8684668989547039,1,42,2.5,coarse
iqr__multiplier_2p500__attempt_01,iqr__multiplier_2p500,new_prices,iqr,price_drop,3373,2157,0.6394900681885561,1,42,2.5,coarse
iqr__multiplier_2p500__attempt_01,iqr__multiplier_2p500,new_prices,iqr,price_spike,3393,3141,0.9257294429708223,1,42,2.5,coarse
iqr__multiplier_2p500__attempt_01,iqr__multiplier_2p500,new_products,iqr,decimal_shift,9124,6532,0.7159140727750987,1,42,2.5,coarse
iqr__multiplier_2p500__attempt_01,iqr__multiplier_2p500,new_products,iqr,price_drop,9034,5276,0.5840159397830419,1,42,2.5,coarse
iqr__multiplier_2p500__attempt_01,iqr__multiplier_2p500,new_products,iqr,price_spike,9026,6680,0.7400842011965433,1,42,2.5,coarse
iqr__multiplier_3p000__attempt_01,iqr__multiplier_3p000,new_prices,iqr,decimal_shift,3444,2898,0.8414634146341463,1,42,3.0,coarse
iqr__multiplier_3p000__attempt_01,iqr__multiplier_3p000,new_prices,iqr,price_drop,3373,1957,0.5801956715090424,1,42,3.0,coarse
iqr__multiplier_3p000__attempt_01,iqr__multiplier_3p000,new_prices,iqr,price_spike,3393,3088,0.9101090480400825,1,42,3.0,coarse
iqr__multiplier_3p000__attempt_01,iqr__multiplier_3p000,new_products,iqr,decimal_shift,9124,6377,0.698925909688733,1,42,3.0,coarse
iqr__multiplier_3p000__attempt_01,iqr__multiplier_3p000,new_products,iqr,price_drop,9034,4975,0.5506973655080806,1,42,3.0,coarse
iqr__multiplier_3p000__attempt_01,iqr__multiplier_3p000,new_products,iqr,price_spike,9026,6582,0.7292266784843785,1,42,3.0,coarse
iqr__multiplier_1p250__attempt_01,iqr__multiplier_1p250,new_prices,iqr,decimal_shift,3444,3239,0.9404761904761905,1,42,1.25,refine
iqr__multiplier_1p250__attempt_01,iqr__multiplier_1p250,new_prices,iqr,price_drop,3373,2791,0.8274533056626149,1,42,1.25,refine
iqr__multiplier_1p250__attempt_01,iqr__multiplier_1p250,new_prices,iqr,price_spike,3393,3224,0.9501915708812261,1,42,1.25,refine
iqr__multiplier_1p250__attempt_01,iqr__multiplier_1p250,new_products,iqr,decimal_shift,9124,6987,0.7657825515124945,1,42,1.25,refine
iqr__multiplier_1p250__attempt_01,iqr__multiplier_1p250,new_products,iqr,price_drop,9034,6260,0.6929377905689617,1,42,1.25,refine
iqr__multiplier_1p250__attempt_01,iqr__multiplier_1p250,new_products,iqr,price_spike,9026,6859,0.7599157988034567,1,42,1.25,refine
iqr__multiplier_1p750__attempt_01,iqr__multiplier_1p750,new_prices,iqr,decimal_shift,3444,3145,0.9131823461091754,1,42,1.75,refine
iqr__multiplier_1p750__attempt_01,iqr__multiplier_1p750,new_prices,iqr,price_drop,3373,2540,0.7530388378298251,1,42,1.75,refine
iqr__multiplier_1p750__attempt_01,iqr__multiplier_1p750,new_prices,iqr,price_spike,3393,3198,0.9425287356321839,1,42,1.75,refine
iqr__multiplier_1p750__attempt_01,iqr__multiplier_1p750,new_products,iqr,decimal_shift,9124,6769,0.7418895221394125,1,42,1.75,refine
iqr__multiplier_1p750__attempt_01,iqr__multiplier_1p750,new_products,iqr,price_drop,9034,5822,0.6444542838166925,1,42,1.75,refine
iqr__multiplier_1p750__attempt_01,iqr__multiplier_1p750,new_products,iqr,price_spike,9026,6784,0.751606470197208,1,42,1.75,refine
